,Country,Date,Confirmed,Recovered,Deaths
70,Canada,4/1/20,10527,0,175
71,Canada,4/2/20,12219,0,224
72,Canada,4/3/20,13559,0,277
73,Canada,4/4/20,14906,0,360
74,Canada,4/5/20,16475,0,435
75,Canada,4/6/20,17521,0,520
76,Canada,4/7/20,18858,0,581
77,Canada,4/8/20,20122,0,648
78,Canada,4/9/20,21502,0,771
79,Canada,4/10/20,22777,0,867
80,Canada,4/11/20,24084,0,986
81,Canada,4/12/20,25303,0,1095
82,Canada,4/13/20,26937,0,1225
83,Canada,4/14/20,28563,0,1361
84,Canada,4/15/20,30223,0,1515
85,Canada,4/16/20,32790,0,1718
86,Canada,4/17/20,34876,0,1844
87,Canada,4/18/20,36358,0,1987
88,Canada,4/19/20,38026,0,2145
89,Canada,4/20/20,39591,0,2291
90,Canada,4/21/20,41334,0,2484
91,Canada,4/22/20,43641,0,2679
92,Canada,4/23/20,45310,0,2850
93,Canada,4/24/20,47007,0,3030
94,Canada,4/25/20,48570,0,3217
95,Canada,4/26/20,50002,0,3374
96,Canada,4/27/20,51621,0,3559
97,Canada,4/28/20,53297,0,3756
98,Canada,4/29/20,55061,0,4000
99,Canada,4/30/20,56716,0,4179
680,US,4/1/20,224281,8474,6636
681,US,4/2/20,256627,9001,8151
682,US,4/3/20,288992,9707,9558
683,US,4/4/20,321379,14652,11167
684,US,4/5/20,350713,17448,12799
685,US,4/6/20,382646,19581,14536
686,US,4/7/20,413222,21763,17106
687,US,4/8/20,444340,23559,19260
688,US,4/9/20,480413,25410,21475
689,US,4/10/20,514689,28790,23663
690,US,4/11/20,543878,31270,25801
691,US,4/12/20,570812,32988,27693
692,US,4/13/20,597804,43482,29675
693,US,4/14/20,626217,47763,32128
694,US,4/15/20,652179,52096,34719
695,US,4/16/20,682442,54703,36917
696,US,4/17/20,715446,58545,39030
697,US,4/18/20,743379,64840,40970
698,US,4/19/20,769250,70337,42959
699,US,4/20/20,799039,72329,45203
700,US,4/21/20,825257,75204,47662
701,US,4/22/20,854328,77366,50135
702,US,4/23/20,887581,80203,52570
703,US,4/24/20,919920,99079,54748
704,US,4/25/20,950298,100372,56472
705,US,4/26/20,976871,106988,57885
706,US,4/27/20,1000666,111424,59380
707,US,4/28/20,1025354,115936,61608
708,US,4/29/20,1051785,120720,64006
709,US,4/30/20,1080942,153947,66187
1290,United Kingdom,4/1/20,43789,179,3130
1291,United Kingdom,4/2/20,48718,192,3787
1292,United Kingdom,4/3/20,53699,208,4524
1293,United Kingdom,4/4/20,57772,215,5281
1294,United Kingdom,4/5/20,61422,229,5882
1295,United Kingdom,4/6/20,66738,287,6452
1296,United Kingdom,4/7/20,72224,325,7557
1297,United Kingdom,4/8/20,77387,345,8589
1298,United Kingdom,4/9/20,82293,359,9706
1299,United Kingdom,4/10/20,86660,588,10829
1300,United Kingdom,4/11/20,90273,622,11673
1301,United Kingdom,4/12/20,93812,626,12330
1302,United Kingdom,4/13/20,98017,304,13055
1303,United Kingdom,4/14/20,102365,323,14135
1304,United Kingdom,4/15/20,107465,368,15019
1305,United Kingdom,4/16/20,112808,375,16059
1306,United Kingdom,4/17/20,117798,394,16973
1307,United Kingdom,4/18/20,122534,414,18081
1308,United Kingdom,4/19/20,126394,436,18514
1309,United Kingdom,4/20/20,131260,446,19090
1310,United Kingdom,4/21/20,136035,638,20314
1311,United Kingdom,4/22/20,141540,683,21171
1312,United Kingdom,4/23/20,146708,712,21855
1313,United Kingdom,4/24/20,151689,724,22873
1314,United Kingdom,4/25/20,155453,774,23689
1315,United Kingdom,4/26/20,158926,778,24053
1316,United Kingdom,4/27/20,163630,807,24376
1317,United Kingdom,4/28/20,168357,813,25347
1318,United Kingdom,4/29/20,173807,857,26118
1319,United Kingdom,4/30/20,178771,859,26754
