,Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
23790,2020-01-22,Canada,Alberta,0,,0
23791,2020-01-23,Canada,Alberta,0,,0
23792,2020-01-24,Canada,Alberta,0,,0
23793,2020-01-25,Canada,Alberta,0,,0
23794,2020-01-26,Canada,Alberta,0,,0
23795,2020-01-27,Canada,Alberta,0,,0
23796,2020-01-28,Canada,Alberta,0,,0
23797,2020-01-29,Canada,Alberta,0,,0
23798,2020-01-30,Canada,Alberta,0,,0
23799,2020-01-31,Canada,Alberta,0,,0
23800,2020-02-01,Canada,Alberta,0,,0
23801,2020-02-02,Canada,Alberta,0,,0
23802,2020-02-03,Canada,Alberta,0,,0
23803,2020-02-04,Canada,Alberta,0,,0
23804,2020-02-05,Canada,Alberta,0,,0
23805,2020-02-06,Canada,Alberta,0,,0
23806,2020-02-07,Canada,Alberta,0,,0
23807,2020-02-08,Canada,Alberta,0,,0
23808,2020-02-09,Canada,Alberta,0,,0
23809,2020-02-10,Canada,Alberta,0,,0
23810,2020-02-11,Canada,Alberta,0,,0
23811,2020-02-12,Canada,Alberta,0,,0
23812,2020-02-13,Canada,Alberta,0,,0
23813,2020-02-14,Canada,Alberta,0,,0
23814,2020-02-15,Canada,Alberta,0,,0
23815,2020-02-16,Canada,Alberta,0,,0
23816,2020-02-17,Canada,Alberta,0,,0
23817,2020-02-18,Canada,Alberta,0,,0
23818,2020-02-19,Canada,Alberta,0,,0
23819,2020-02-20,Canada,Alberta,0,,0
23820,2020-02-21,Canada,Alberta,0,,0
23821,2020-02-22,Canada,Alberta,0,,0
23822,2020-02-23,Canada,Alberta,0,,0
23823,2020-02-24,Canada,Alberta,0,,0
23824,2020-02-25,Canada,Alberta,0,,0
23825,2020-02-26,Canada,Alberta,0,,0
23826,2020-02-27,Canada,Alberta,0,,0
23827,2020-02-28,Canada,Alberta,0,,0
23828,2020-02-29,Canada,Alberta,0,,0
23829,2020-03-01,Canada,Alberta,0,,0
23830,2020-03-02,Canada,Alberta,0,,0
23831,2020-03-03,Canada,Alberta,0,,0
23832,2020-03-04,Canada,Alberta,0,,0
23833,2020-03-05,Canada,Alberta,0,,0
23834,2020-03-06,Canada,Alberta,1,,0
23835,2020-03-07,Canada,Alberta,2,,0
23836,2020-03-08,Canada,Alberta,4,,0
23837,2020-03-09,Canada,Alberta,7,,0
23838,2020-03-10,Canada,Alberta,7,,0
23839,2020-03-11,Canada,Alberta,19,,0
23840,2020-03-12,Canada,Alberta,19,,0
23841,2020-03-13,Canada,Alberta,29,,0
23842,2020-03-14,Canada,Alberta,29,,0
23843,2020-03-15,Canada,Alberta,39,,0
23844,2020-03-16,Canada,Alberta,56,,0
23845,2020-03-17,Canada,Alberta,74,,0
23846,2020-03-18,Canada,Alberta,97,,0
23847,2020-03-19,Canada,Alberta,119,,0
23848,2020-03-20,Canada,Alberta,146,,1
23849,2020-03-21,Canada,Alberta,195,,1
23850,2020-03-22,Canada,Alberta,259,,1
23851,2020-03-23,Canada,Alberta,301,,1
23852,2020-03-24,Canada,Alberta,359,,1
23853,2020-03-25,Canada,Alberta,358,,2
23854,2020-03-26,Canada,Alberta,486,,2
23855,2020-03-27,Canada,Alberta,542,,2
23856,2020-03-28,Canada,Alberta,542,,2
23857,2020-03-29,Canada,Alberta,621,,2
23858,2020-03-30,Canada,Alberta,661,,3
23859,2020-03-31,Canada,Alberta,690,,8
23860,2020-04-01,Canada,Alberta,754,,9
23861,2020-04-02,Canada,Alberta,969,,13
23862,2020-04-03,Canada,Alberta,969,,13
23863,2020-04-04,Canada,Alberta,1075,,18
23864,2020-04-05,Canada,Alberta,1181,,20
23865,2020-04-06,Canada,Alberta,1250,,23
23866,2020-04-07,Canada,Alberta,1373,,24
23867,2020-04-08,Canada,Alberta,1373,,26
23868,2020-04-09,Canada,Alberta,1423,,29
23869,2020-04-10,Canada,Alberta,1451,,32
23870,2020-04-11,Canada,Alberta,1567,,40
23871,2020-04-12,Canada,Alberta,1567,,40
23872,2020-04-13,Canada,Alberta,1732,,46
23873,2020-04-14,Canada,Alberta,1870,,48
23874,2020-04-15,Canada,Alberta,1870,,48
23875,2020-04-16,Canada,Alberta,1996,,48
23876,2020-04-17,Canada,Alberta,2397,,50
23877,2020-04-18,Canada,Alberta,2562,,51
23878,2020-04-19,Canada,Alberta,2803,,51
23879,2020-04-20,Canada,Alberta,2908,,59
23880,2020-04-21,Canada,Alberta,3095,,61
23881,2020-04-22,Canada,Alberta,3401,,66
23882,2020-04-23,Canada,Alberta,3720,,68
23883,2020-04-24,Canada,Alberta,4017,,72
23884,2020-04-25,Canada,Alberta,4233,,73
23885,2020-04-26,Canada,Alberta,4480,,73
23886,2020-04-27,Canada,Alberta,4696,,75
23887,2020-04-28,Canada,Alberta,4850,,80
23888,2020-04-29,Canada,Alberta,5165,,87
23889,2020-04-30,Canada,Alberta,5355,,90
23890,2020-05-01,Canada,Alberta,5573,,92
23891,2020-05-02,Canada,Alberta,5670,,94
23892,2020-05-03,Canada,Alberta,5766,,95
23893,2020-05-04,Canada,Alberta,5836,,104
23894,2020-05-05,Canada,Alberta,5893,,106
23895,2020-05-06,Canada,Alberta,5963,,112
23896,2020-05-07,Canada,Alberta,6017,,114
23897,2020-05-08,Canada,Alberta,6098,,115
23898,2020-05-09,Canada,Alberta,6157,,116
23899,2020-05-10,Canada,Alberta,6253,,117
23900,2020-05-11,Canada,Alberta,6300,,117
23901,2020-05-12,Canada,Alberta,6345,,118
23902,2020-05-13,Canada,Alberta,6407,,120
23903,2020-05-14,Canada,Alberta,6457,,121
23904,2020-05-15,Canada,Alberta,6515,,125
23905,2020-05-16,Canada,Alberta,6587,,126
23906,2020-05-17,Canada,Alberta,6644,,127
23907,2020-05-18,Canada,Alberta,6683,,128
23908,2020-05-19,Canada,Alberta,6716,,128
23909,2020-05-20,Canada,Alberta,6735,,128
23910,2020-05-21,Canada,Alberta,6768,,132
23911,2020-05-22,Canada,Alberta,6800,,134
23912,2020-05-23,Canada,Alberta,6818,,135
23913,2020-05-24,Canada,Alberta,6860,,135
23914,2020-05-25,Canada,Alberta,6879,,138
23915,2020-05-26,Canada,Alberta,6901,,139
23916,2020-05-27,Canada,Alberta,6926,,141
23917,2020-05-28,Canada,Alberta,6955,,143
23918,2020-05-29,Canada,Alberta,6979,,143
23919,2020-05-30,Canada,Alberta,6992,,143
23920,2020-05-31,Canada,Alberta,7010,,143
23921,2020-06-01,Canada,Alberta,7044,,143
23922,2020-06-02,Canada,Alberta,7057,,143
23923,2020-06-03,Canada,Alberta,7076,,145
23924,2020-06-04,Canada,Alberta,7091,,146
23925,2020-06-05,Canada,Alberta,7098,,146
23926,2020-06-06,Canada,Alberta,7138,,146
23927,2020-06-07,Canada,Alberta,7138,,146
23928,2020-06-08,Canada,Alberta,7202,,149
23929,2020-06-09,Canada,Alberta,7229,,151
23930,2020-06-10,Canada,Alberta,7276,,151
23931,2020-06-11,Canada,Alberta,7316,,149
23932,2020-06-12,Canada,Alberta,7346,,149
